eventdate,ActionGeo_FullName,tone,ActionGeo_Lat,ActionGeo_Long
2015-11-03,"Linn County, Iowa, United States",-0.26666666666666705,42.0667,-91.6002
2015-11-03,"Mount Auburn, Iowa, United States",0.43478260869565155,42.255,-92.0927
2015-11-03,"West Des Moines, Iowa, United States",-2.135231316725975,41.5772,-93.7113
2015-11-03,"Adams County, Iowa, United States",-0.40650406504065,41.0333,-94.7002
2015-11-03,"Davenport Police Department, Iowa, United States",-0.8096367538075263,41.5239,-90.5768
2015-11-03,"Scott County, Iowa, United States",-0.20287911410909482,41.6334,-90.6335
2015-11-03,"Methodist Church, Iowa, United States",-1.85430463576159,42.9742,-96.3189
2015-11-03,"Chillicothe, Iowa, United States",0.17688679245283,41.0856,-92.5294
2015-11-03,"Black Hawk County, Iowa, United States",-0.11574074074074132,42.4667,-92.3168
2015-11-03,"Ida Grove, Iowa, United States",0.057178778406399795,42.345,-95.4717
2015-11-03,"Muscatine, Iowa, United States",1.03359173126615,41.4245,-91.0432
2015-11-03,"Oskaloosa, Iowa, United States",0.07706986675735886,41.2964,-92.6444
2015-11-03,"Fort Madison, Iowa, United States",0.72289156626506,40.6298,-91.3151
2015-11-03,"Emmetsburg, Iowa, United States",3.78151260504201,43.1127,-94.683
2015-11-03,"Jubilee Family Church, Iowa, United States",-0.04587155963303015,41.2922,-92.6499
2015-11-03,"Terrace Hill, Iowa, United States",0.88757396449704,41.5833,-93.6491
2015-11-03,"Conesville, Iowa, United States",-5.34351145038168,41.382,-91.3499
2015-11-03,"Winneshiek County, Iowa, United States",2.513227513227515,43.2833,-91.8502
2015-11-03,"Marshalltown, Iowa, United States",-0.3313536953242832,42.0494,-92.908
2015-11-03,"Polk County, Iowa, United States",0.0,41.6833,-93.5835
2015-11-03,"Sioux Center, Iowa, United States",-0.7661558339907703,43.0797,-96.1756
2015-11-03,"Okoboji, Iowa, United States",-9.5435684647303,43.3864,-95.1483
2015-11-03,"Sioux City, Iowa, United States",-0.046462105418303486,42.5,-96.4003
2015-11-03,"Coral Ridge Mall, Iowa, United States",-4.02684563758389,41.6917,-91.6057
2015-11-03,"Lone Rock, Iowa, United States",-0.55865921787709,43.2186,-94.3269
2015-11-03,"North Liberty, Iowa, United States",-0.4319942994566667,41.7492,-91.5979
2015-11-03,"Sioux County, Iowa, United States",-1.8725604996096812,42.7333,-96.2336
