year,city,lat,lon,Sum_LitersPerCapita,Sum_salesPerCapita,Avg_population
2012,ACKLEY,42.555534,-93.0529775,2.74610576923077,28.0426025641026,1560
2012,ADAIR,41.50043,-94.6433504,5.05470467032967,74.3717857142857,728
2012,ADEL,41.6144325,-94.017453,5.20873969375736,65.7791236749117,4245
2012,AFTON,41.0284183,-94.1975786,3.14423401688782,40.8816887816647,829
2012,AKRON,42.8288818,-96.5594773,1.2193275862069,15.4980689655172,1450
2012,ALBIA,41.0300078,-92.811307,6.03343562287804,74.9873282841473,3829
2012,ALDEN,42.5202571,-93.3760389,9.97802356020942,126.149947643979,764
2012,ALGONA,43.0699663,-94.233019,13.8236113345521,164.983307129799,5470
2012,ALLISON,42.7535847,-92.7952244,3.24363459669582,37.8306705539359,1029
2012,ALTA VISTA,43.1985819,-92.4171216,3.56704980842912,46.6025287356322,261
2012,ALTON,42.9874869,-96.0105735,12.878164556962,164.12355221519,1264
2012,ALTOONA,41.6435514,-93.4750836,8.98058425577014,121.372127296279,16984
2012,ALVORD,43.3420659,-96.3022407,0.349740932642487,3.96844559585492,193
2012,AMES,42.0307812,-93.6319131,8.23897073470643,111.884678911774,65060
2012,ANAMOSA,42.1083371,-91.2851594,11.3553803254708,131.462419089413,5469
2012,ANITA,41.4438761,-94.764146,5.5428870292887,64.7694037656904,956
2012,ANKENY,41.7317884,-93.6001278,4.6252841765908,62.335284863646,56764
2012,ANTHON,42.3883232,-95.8666772,17.4529876977153,261.576678383128,569
2012,ARLINGTON,42.7491501,-91.6712663,7.8634756097561,80.091487804878,410
2012,ARMSTRONG,43.3960697,-94.4783082,8.55705849268841,99.9064791901012,889
2012,ARNOLDS PARK,43.3727408,-95.1238841,20.228017828201,287.608995137763,1234
2012,ATLANTIC,41.4036007,-95.0138776,11.8511378603834,153.974885116347,6833
2012,AUDUBON,41.7180421,-94.9324868,6.47135597421914,68.8675954387705,2017
2012,AVOCA,41.4766571,-95.3380549,15.1452127659574,213.228829787234,1504
2012,BALDWIN,42.0741832,-90.8415301,20.1077830188679,240.46358490566,106
2012,BANCROFT,43.2927386,-94.2180192,28.4295084507042,384.469929577465,710
2012,BAXTER,41.8260998,-93.1515905,2.39301903898459,28.0646509519492,1103
2012,BEDFORD,40.666932,-94.721358,3.63494699646643,44.4869893992933,1415
2012,BELLE PLAINE,41.8955529,-92.2757404,8.12888888888889,101.685652525253,2475
2012,BELLEVUE,42.2588936,-90.4257531,9.02528722426471,120.682840073529,2176
2012,BELMOND,42.84608,-93.6140991,5.74403630077788,73.9433232497839,2314
2012,BETTENDORF,41.56085,-90.48344,9.46195699197296,142.306888043937,35505
2012,BEVINGTON,41.3605472,-93.7907776,46.8483870967742,681.051290322581,62
2012,BLOOMFIELD,40.7516884,-92.4149074,3.08377913641574,33.0405617118838,2617
2012,BLUE GRASS,41.5089194,-90.7659767,3.17049522673031,37.243192124105,1676
2012,BONDURANT,41.7019329,-93.4607681,0.500530424339472,7.36705564451561,4996
2012,BOONE,42.0597047,-93.8802273,6.87934777812796,83.3584139615506,12692
2012,BRITT,43.0977399,-93.8018875,5.52480993411049,51.6076178408515,1973
2012,BROOKLYN,41.7315717,-92.4453638,5.71533450704225,70.8690633802817,1420
2012,BUFFALO,41.4555873,-90.7209746,2.06431870669746,27.326766743649,1299
2012,BUFFALO CENTER,43.3857909,-93.9466193,5.04285363128492,58.5737541899441,895
2012,BURLINGTON,40.8076529,-91.1128901,7.52536509248327,98.962191656828,25410
2012,BUSSEY,41.2066696,-92.8840881,4.25048780487805,42.4656585365854,410
2012,CAMANCHE,41.7853085,-90.2529064,1.52129693618982,18.969191430546,4341
2012,CAMBRIDGE,41.8983187,-93.5291019,2.58109013398295,33.6150669914738,821
2012,CARROLL,42.0655986,-94.8672793,16.1662503009631,212.980512640449,9968
2012,CARTER LAKE,41.2905534,-95.9180689,0.918339488261672,12.8919388024268,3791
